Order,PlotNo,Date,Year,Forager ID,StartTime,StopTime,Duration_min,Species,CommonName,PartCollected,GrossWt_lb,GrossWt_n,EdibleWt_lb,EdibleWt_g,EdibleWt_n,ProcessingTime_min,excel_row,exclusion
207.0,Plot09,2015-10-06,2015,2,15:35:00,16:52:00,77,Tritonia crocata,kalkoentjie,Corm,0.1,29.0,0.02,9.07,29.0,8,42,
212.0,Plot09,2016-08-30,2016,2,10:35:00,12:03:00,88,Cyphia digitata,baroe,Tuber,,,0.5,226.8,7.0,,43,
215.0,Plot09,2016-08-30,2016,2,10:35:00,12:03:00,88,Tritonia crocata,kalkoentjie,Corm,0.18,44.0,0.054,24.49,44.0,,44,
247.0,Plot02,2017-09-02,2017,2,14:00:00,15:02:00,62,Gladiolus teretifolius,Rooi pypie,Corm,,,0.03,13.61,2.0,,45,
249.0,Plot02,2017-09-02,2017,2,14:00:00,15:02:00,62,Satyrium longicolle,Satyrium gloss,Tuber,,,0.1,45.36,8.0,,46,
250.0,Plot06,2017-09-02,2017,2,10:32:00,10:40:00,8,Chasmanthe aethiopica,pypie,Corm,,,0.07,31.75,7.0,,47,
252.0,Plot07,2017-09-02,2017,2,10:19:00,10:41:00,22,Satyrium carneum,,Tuber,,,0.73,331.12,27.0,,48,
255.0,Plot07,2017-09-02,2017,2,10:19:00,10:41:00,22,Babiana ambigua,bobbejaantjie,Corm,,,0.07,31.75,11.0,,49,
258.0,Plot12,2017-09-02,2017,2,09:17:00,09:52:00,35,Pelargonium lobatum,platblaar patat,Tuber,,,0.09,40.82,4.0,,50,
259.0,Plot12,2017-09-02,2017,2,09:17:00,09:52:00,35,Chasmanthe aethiopica,pypie,Corm,,,0.03,13.61,1.0,,51,
260.0,Plot12,2017-09-02,2017,2,09:17:00,09:52:00,35,Babiana ambigua,bobbejaantjie,Corm,,,0.09,40.82,5.0,,52,
261.0,Plot20,2017-09-02,2017,2,13:02:00,13:26:00,24,Gladiolus teretifolius,Rooi pypie,Corm,,,0.7,317.51,3.0,,53,
263.0,Plot03,2017-09-04,2017,2,12:46:00,13:26:00,40,Babiana patula,bobbejaantjie,Corm,,,0.08,36.29,4.0,,54,
265.0,Plot08,2017-09-04,2017,2,14:26:00,15:31:00,65,Pelargonium lobatum,platblaar patat,Tuber,,,0.27,122.47,13.0,,55,
266.0,Plot08,2017-09-04,2017,2,14:26:00,15:31:00,65,Tritonia crocata,Hanekammetjie,Corm,,,0.08,36.29,27.0,,56,
268.0,Plot09,2017-09-04,2017,2,16:12:00,17:11:00,59,Cyphia digitata,baroe,Tuber,,,0.35,158.76,4.0,,57,
271.0,Plot09,2017-09-04,2017,2,16:12:00,17:11:00,59,Babiana patula,bobbejaantjie,Corm,,,0.03,13.61,3.0,,58,
272.0,Plot18,2017-09-04,2017,2,10:05:00,10:55:00,50,Cyphia digitata,baroe,Tuber,,,0.32,145.15,4.0,,59,
