age_ka,PC1,sigma,q025,q25,median,q75,q975
84.0,-30.66,8.78,-49.34,-40.02,-34.78,-28.22,-14.48
85.0,-29.99,9.31,-51.51,-42.93,-37.64,-30.82,-15.62
86.0,-38.77,9.49,-56.47,-46.83,-41.11,-34.96,-18.08
87.0,-43.09,9.38,-58.24,-49.26,-43.74,-37.19,-20.89
88.0,-46.6,8.91,-59.96,-51.62,-46.51,-40.18,-25.72
89.0,-43.44,8.46,-60.47,-51.64,-46.78,-40.97,-28.6
90.0,-43.63,7.86,-59.49,-50.78,-46.3,-40.72,-28.89
91.0,-40.3,7.57,-57.19,-49.58,-45.75,-40.52,-27.2
92.0,-41.67,7.59,-56.66,-49.31,-44.98,-39.88,-26.28
93.0,-42.16,6.86,-53.77,-46.74,-42.86,-38.34,-27.85
94.0,-40.52,6.68,-52.39,-44.54,-40.29,-35.78,-26.54
95.0,-34.24,7.47,-50.8,-41.2,-36.66,-31.1,-21.52
96.0,-27.74,7.82,-47.5,-37.22,-32.29,-26.85,-16.22
97.0,-22.19,7.77,-42.02,-32.46,-27.12,-21.71,-11.02
98.0,-21.19,7.38,-38.21,-28.92,-24.2,-19.16,-9.82
99.0,-17.26,6.77,-35.67,-27.03,-22.32,-17.8,-9.34
100.0,-19.49,7.09,-36.28,-27.51,-22.77,-17.55,-9.29
101.0,-17.72,7.5,-37.95,-29.52,-24.66,-18.94,-9.32
102.0,-25.03,7.58,-40.61,-32.72,-28.0,-22.28,-10.86
103.0,-29.47,7.36,-43.31,-35.2,-31.22,-25.82,-14.15
104.0,-31.71,6.23,-47.08,-39.33,-35.22,-30.99,-22.42
105.0,-34.36,6.23,-51.67,-43.15,-38.95,-34.95,-27.0
106.0,-40.33,5.91,-53.53,-45.82,-41.91,-37.89,-30.24
107.0,-45.01,5.84,-56.12,-48.71,-44.78,-40.67,-33.4
108.0,-44.48,5.71,-58.2,-51.0,-47.28,-42.92,-36.24
109.0,-45.95,5.85,-59.78,-52.37,-48.42,-44.37,-37.21
110.0,-46.36,5.75,-58.82,-51.93,-48.33,-44.09,-35.63
111.0,-47.08,6.09,-57.92,-51.08,-47.38,-42.93,-34.02
112.0,-43.18,6.7,-57.09,-49.23,-44.94,-40.58,-29.37
113.0,-38.93,7.92,-55.23,-46.16,-40.87,-35.68,-23.47
114.0,-33.84,8.71,-52.11,-41.81,-36.14,-30.32,-17.24
