age_years,survival_from_birth,female_fertility_per_year
0,1.0,0.0
1,0.7665429303378065,0.0
2,0.6972687567112267,0.0
3,0.6702634051703532,0.0
4,0.6558807899670615,0.0
5,0.6454977506548542,0.0
6,0.6364470754325859,0.0
7,0.627886026042052,0.0
8,0.6195455867047311,0.0
9,0.6113386879955429,0.0
10,0.6032361010719087,0.0
11,0.5952269781947301,0.0
12,0.587306289647421,0.0
13,0.5794708200310914,0.0
14,0.5717178896273262,0.0
15,0.5640449433167168,0.041425256045964046
16,0.5564494155416221,0.041425256045964046
17,0.548928682935362,0.041425256045964046
18,0.5414800446200599,0.041425256045964046
19,0.5341007110597817,0.041425256045964046
20,0.5267877953767346,0.12388909224754183
21,0.5195383051866277,0.12388909224754183
22,0.5123491343326111,0.12388909224754183
23,0.5052170543215209,0.12388909224754183
24,0.49813870540490646,0.12388909224754183
25,0.4911105872959555,0.1346296047282507
26,0.4841290495343671,0.1346296047282507
27,0.4771902815244596,0.1346296047282507
28,0.4702903022839229,0.1346296047282507
29,0.46342494995391925,0.1346296047282507
30,0.45658987113669397,0.09669315221782544
31,0.4497805101450373,0.09669315221782544
32,0.4429920982693478,0.09669315221782544
33,0.436219643193154,0.09669315221782544
34,0.42945791871728656,0.09669315221782544
35,0.42270145498702494,0.04920455659549725
36,0.4159445294560534,0.04920455659549725
37,0.4091811588666197,0.04920455659549725
38,0.402405092577533,0.04920455659549725
39,0.3956098076312588,0.04920455659549725
40,0.388788506019012,0.017974383993725418
41,0.3819341146790239,0.017974383993725418
42,0.37503928884857546,0.017974383993725418
43,0.3680964194852902,0.017974383993725418
44,0.3610976455776747,0.017974383993725418
45,0.3540348722787395,0.005183954171195401
46,0.34689979591900266,0.005183954171195401
47,0.3396839370849019,0.005183954171195401
48,0.33237868308338636,0.005183954171195401
49,0.32497534124988553,0.005183954171195401
50,0.317465204690226,0.0
51,0.3098396321708664,0.0
52,0.3020901439773914,0.0
53,0.29420853563726845,0.0
54,0.28618701143504066,0.0
55,0.2780183396184553,0.0
56,0.26969603108047224,0.0
57,0.2612145430781887,0.0
58,0.2525695091843199,0.0
59,0.24375799612422427,0.0
60,0.2347787873916866,0.0
61,0.22563269251690932,0.0
62,0.2163228795365495,0.0
63,0.20685522654650396,0.0
64,0.19723868616871948,0.0
65,0.18748565431218436,0.0
66,0.17761233175618923,0.0
67,0.16763906386481184,0.0
68,0.1575906402358674,0.0
69,0.14749653243774508,0.0
70,0.13739104441457456,0.0
71,0.1273133469592277,0.0
72,0.11730736528651887,0.0
73,0.10742148771875634,0.0
74,0.09770806445869333,0.0
75,0.0882226690821707,0.0
76,0.07902310246515407,0.0
77,0.07016813002789245,0.0
78,0.06171595889318187,0.0
79,0.053722481908409725,0.0
80,0.04623933999750347,0.0
